status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
15704546335_10155599061896336,0,0,0,0,0,0,0,0,5,0,2,0,50.388888888888886,0.0,0.0
15704546335_10155598940941336,0,0,0,0,3,0,0,0,8,0,0,0,50.3235294117647,2.0,0.0
15704546335_10155596186491336,0,0,0,2,0,0,0,1,8,1,1,0,50.14705882352941,0.0,0.0
15704546335_10155598607441336,0,0,0,0,2,0,0,1,6,0,2,0,50.26470588235294,0.0,2.0
15704546335_10155598332861336,0,0,0,0,0,0,0,1,10,0,0,0,50.28125,0.0,2.0
15704546335_10155598168551336,0,0,0,0,0,0,0,0,7,0,1,0,50.333333333333336,0.0,1.0
15704546335_10155597962146336,0,0,0,0,0,0,0,0,7,0,0,0,50.35,0.0,0.0
15704546335_10155597764296336,0,0,0,0,0,0,0,1,5,0,1,0,50.3125,0.0,0.0
15704546335_10155596781616336,0,0,0,0,0,0,0,0,7,0,1,0,50.44444444444444,0.0,0.0
15704546335_10155592595916336,0,0,0,0,0,0,0,1,7,0,0,0,50.31818181818182,2.0,1.0
15704546335_10155594946151336,0,0,0,0,1,0,0,0,6,0,2,0,50.40909090909091,0.0,0.0
15704546335_10155596206721336,0,0,0,0,0,0,0,0,10,0,0,0,50.38461538461539,0.0,1.0
15704546335_10155596177606336,0,0,0,0,0,0,0,0,7,0,0,0,50.35,0.0,0.0
15704546335_10155594612381336,0,0,0,0,0,0,0,0,7,0,2,0,50.45,0.0,0.0
15704546335_10155594062661336,0,0,0,0,0,0,0,1,9,1,2,0,50.28125,0.0,2.0
15704546335_10155594925676336,0,0,0,0,1,0,0,2,6,2,3,0,50.1578947368421,0.0,2.0
15704546335_10155592489656336,0,0,0,0,1,0,0,1,9,0,2,0,50.392857142857146,1.0,1.0
15704546335_10155594579011336,0,0,0,0,2,0,0,1,6,0,3,0,50.38461538461539,2.0,0.0
15704546335_10155594497021336,0,0,0,0,0,0,0,0,11,0,2,0,50.40625,1.0,0.0
15704546335_10155592768841336,0,0,0,0,0,0,0,0,8,0,2,0,50.45454545454545,0.0,0.0
15704546335_10155592382251336,0,0,0,1,0,0,0,2,8,0,2,0,50.25,1.0,1.0
15704546335_10155594940396336,0,0,0,0,0,0,0,0,2,0,0,0,50.333333333333336,0.0,0.0
15704546335_10155594864091336,0,0,0,0,1,0,0,2,5,0,0,0,50.18181818181818,0.0,1.0
15704546335_10155594838536336,0,0,0,0,1,0,0,3,5,1,2,0,50.2,1.0,1.0
15704546335_10155594708851336,0,0,0,1,0,0,0,2,7,0,1,0,50.14705882352941,0.0,3.0
15704546335_10155594916546336,0,0,0,1,1,0,0,1,8,0,2,0,50.32142857142857,0.0,0.0
15704546335_10155594984746336,0,0,0,1,0,0,0,1,8,0,0,0,50.214285714285715,0.0,2.0
15704546335_10155594916996336,0,0,0,1,0,0,0,3,6,0,0,0,50.088235294117645,1.0,1.0
15704546335_10155594800206336,0,0,0,0,0,0,0,1,6,0,0,0,50.25,0.0,2.0
15704546335_10155592586381336,0,0,0,0,0,0,0,1,9,0,0,0,50.266666666666666,0.0,0.0
15704546335_10155594409881336,0,0,0,0,0,0,0,0,7,0,0,0,50.388888888888886,0.0,2.0
15704546335_10155594044911336,0,0,0,1,2,0,0,2,4,0,1,0,50.15384615384615,0.0,0.0
15704546335_10155593865651336,0,0,0,0,0,0,0,2,8,0,0,0,50.214285714285715,0.0,1.0
15704546335_10155593732821336,0,0,0,0,2,0,0,1,5,0,2,0,50.333333333333336,0.0,1.0
15704546335_10155592463221336,0,0,0,0,0,0,0,1,6,0,2,0,50.35,0.0,1.0
15704546335_10155592474706336,0,0,0,0,1,0,0,3,10,1,2,0,50.23684210526316,3.0,0.0
